name,rank,year,rating,n_reviews,director
The Shawshank Redemption,1,1994,9.2,2719690,Frank Darabont
The Godfather,2,1972,9.2,1889784,Francis Ford Coppola
The Dark Knight,3,2008,9.0,2692428,Christopher Nolan
The Godfather Part II,4,1974,9.0,1289497,Francis Ford Coppola
12 Angry Men,5,1957,9.0,803857,Sidney Lumet
Schindler's List,6,1993,8.9,1373666,Steven Spielberg
The Lord of the Rings: The Return of the King,7,2003,8.9,1871332,Peter Jackson
Pulp Fiction,8,1994,8.8,2088653,Quentin Tarantino
The Lord of the Rings: The Fellowship of the Ring,9,2001,8.8,1900603,Peter Jackson
"The Good, the Bad and the Ugly",10,1966,8.8,771284,Sergio Leone
Forrest Gump,11,1994,8.8,2114484,Robert Zemeckis
Fight Club,12,1999,8.7,2163173,David Fincher
The Lord of the Rings: The Two Towers,13,2002,8.7,1689448,Peter Jackson
Inception,14,2010,8.7,2389494,Christopher Nolan
Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7,1309479,Irvin Kershner
The Matrix,16,1999,8.7,1939782,Lana Wachowski
Goodfellas,17,1990,8.7,1179815,Martin Scorsese
One Flew Over the Cuckoo's Nest,18,1975,8.6,1020405,Milos Forman
Se7en,19,1995,8.6,1679816,David Fincher
Seven Samurai,20,1954,8.6,350293,Akira Kurosawa
It's a Wonderful Life,21,1946,8.6,468779,Frank Capra
The Silence of the Lambs,22,1991,8.6,1454068,Jonathan Demme
Saving Private Ryan,23,1998,8.6,1411363,Steven Spielberg
City of God,24,2002,8.6,765533,Fernando Meirelles
Interstellar,25,2014,8.6,1880311,Christopher Nolan
Life Is Beautiful,26,1997,8.6,705420,Roberto Benigni
The Green Mile,27,1999,8.6,1322042,Frank Darabont
Star Wars,28,1977,8.5,1381834,George Lucas
Terminator 2: Judgment Day,29,1991,8.5,1113925,James Cameron
Back to the Future,30,1985,8.5,1225462,Robert Zemeckis
Spirited Away,31,2001,8.5,779445,Hayao Miyazaki
The Pianist,32,2002,8.5,846534,Roman Polanski
Psycho,33,1960,8.5,681232,Alfred Hitchcock
Parasite,34,2019,8.5,835805,Bong Joon Ho
Léon: The Professional,35,1994,8.5,1178484,Luc Besson
The Lion King,36,1994,8.5,1074660,Roger Allers
Gladiator,37,2000,8.5,1521804,Ridley Scott
American History X,38,1998,8.5,1135550,Tony Kaye
The Departed,39,2006,8.5,1344222,Martin Scorsese
The Prestige,40,2006,8.5,1352345,Christopher Nolan
Whiplash,41,2014,8.5,889121,Damien Chazelle
The Usual Suspects,42,1995,8.5,1097395,Bryan Singer
Casablanca,43,1942,8.5,579323,Michael Curtiz
Grave of the Fireflies,44,1988,8.5,283625,Isao Takahata
Harakiri,45,1962,8.5,59747,Masaki Kobayashi
The Intouchables,46,2011,8.5,873217,Olivier Nakache
Modern Times,47,1936,8.4,246308,Charles Chaplin
Once Upon a Time in the West,48,1968,8.4,334567,Sergio Leone
Cinema Paradiso,49,1988,8.4,265833,Giuseppe Tornatore
Rear Window,50,1954,8.4,498312,Alfred Hitchcock
Alien,51,1979,8.4,895471,Ridley Scott
City Lights,52,1931,8.4,187262,Charles Chaplin
Apocalypse Now,53,1979,8.4,677043,Francis Ford Coppola
Memento,54,2000,8.4,1254086,Christopher Nolan
Django Unchained,55,2012,8.4,1582432,Quentin Tarantino
Raiders of the Lost Ark,56,1981,8.4,978904,Steven Spielberg
WALL·E,57,2008,8.4,1132391,Andrew Stanton
The Lives of Others,58,2006,8.4,394177,Florian Henckel von Donnersmarck
Sunset Blvd.,59,1950,8.4,225201,Billy Wilder
Paths of Glory,60,1957,8.4,200703,Stanley Kubrick
The Shining,61,1980,8.4,1038807,Stanley Kubrick
The Great Dictator,62,1940,8.4,227115,Charles Chaplin
Avengers: Infinity War,63,2018,8.4,1106514,Anthony Russo
Witness for the Prosecution,64,1957,8.4,128131,Billy Wilder
Aliens,65,1986,8.3,727135,James Cameron
Spider-Man: Into the Spider-Verse,66,2018,8.3,549451,Bob Persichetti
American Beauty,67,1999,8.3,1166731,Sam Mendes
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,1964,8.3,496999,Stanley Kubrick
The Dark Knight Rises,69,2012,8.3,1727304,Christopher Nolan
Oldboy,70,2003,8.3,590008,Park Chan-wook
Inglourious Basterds,71,2009,8.3,1475841,Quentin Tarantino
Amadeus,72,1984,8.3,406917,Milos Forman
Coco,73,2017,8.3,524570,Lee Unkrich
Toy Story,74,1995,8.3,1008594,John Lasseter
Braveheart,75,1995,8.3,1049194,Mel Gibson
Joker,76,2019,8.3,1329381,Todd Phillips
Das Boot,77,1981,8.3,254017,Wolfgang Petersen
Avengers: Endgame,78,2019,8.3,1161381,Anthony Russo
Princess Mononoke,79,1997,8.3,402327,Hayao Miyazaki
Once Upon a Time in America,80,1984,8.3,357348,Sergio Leone
Good Will Hunting,81,1997,8.3,991594,Gus Van Sant
Your Name.,82,2016,8.3,278929,Makoto Shinkai
Singin' in the Rain,83,1952,8.3,246928,Stanley Donen
3 Idiots,84,2009,8.3,407294,Rajkumar Hirani
Requiem for a Dream,85,2000,8.3,854829,Darren Aronofsky
High and Low,86,1963,8.3,46985,Akira Kurosawa
Toy Story 3,87,2010,8.3,847922,Lee Unkrich
Capernaum,88,2018,8.3,93383,Nadine Labaki
Star Wars: Episode VI - Return of the Jedi,89,1983,8.3,1067878,Richard Marquand
